ID,Name,Artist,Album,Score,Length
1677,Issues - Julia Michaels,,,2,177096
1679,Ariana Grande - Break Free,,,3,214056
1681,"Maroon 5, Cardi B - Girls Like You",,,2,236016
1687,Bell Biv DeVoe - Poison,,,2,289018
1761,P!NK - Blow Me (One Last Kiss),,,4,266088
1763,Imagine Dragons - Natural,,,3,190440
1765,Taylor Swift - Wildest Dreams,,,2,220560
1767,Lady Gaga - Poker Face,,,5,237216
1769,Panic - High Hopes,,,1,191059
1771,Jason Mraz - I'm Yours,,,2,242160
1773,Kelly Clarkson - Stronger,,,3,222888
1775,Katy Perry - Dark Horse,,,4,215719
1777,Post Malone - Otherside,,,2,228240
1779,Lady Gaga - Just Dance,,,4,239020
1781,Ariana Grande - Breathin',,,2,201273
1783,5 Seconds Of Summer - Youngblood,,,3,205248
1785,Sia - Candy Cane Lane,,,5,207216
1787,Shawn Mendes - In My Blood,,,2,207600
1789,Lorde - Tennis Court,,,2,199296
1791,Kesha - Take It Off,,,5,215208
1793,Ariana Grande - God is a Woman,,,1,192816
1795,Studio Killers - Jenny,,,5,215208
1797,Black Eyed Peas - Meet Me Halfway,,,2,284472
1799,Alec Benjamin - The Boy In The Bubbl,,,3,181176
1801,Alec Benjamin - Outrunning Karma,,,2,188664
1803,"Ellie Goulding, Diplo, Swae Lee - Cl",,,2,187536
1805,Eminem - Venom,,,1,267232
1809,Kelly Clarkson - Miss Independent,,,1,214896
1813,Sasha Sloan - Older,,,2,192024
1817,"Benny Blanco, Halsey & Khalid - East",,,1,173088
1819,Blue Cantrell - Hit 'Em up Style (Oo,,,5,248712
1823,Lily Allen - Not Fair,,,3,210696
1825,Enur & Natasja - Calabria 2007,,,5,391752
1829,Blondie - Call me,,,1,212208
1831,Death Cab for Cutie - Northern Light,,,2,237168
1833,Don't Call Me Up,,,2,178608
1835,Lily Allen - Friday Night,,,4,186888
1837,Vallis Alps - Reprieve,,,1,254688
1839,Jonas Brothers - Sucker,,,2,181296
1841,Dev - In The Dark (feat. Flo-Rida),,,4,220296
1859,Silvastone - Full Moon Tonight (feat,,,2,227112
1861,AJR - Burn The House Down,,,2,212376
1863,Lionel Richie - Hello,,,1,251160
1865,Marshmello & Anne-Marie - FRIENDS,,,3,205560
1867,Moto Boy - Blue Motorbike,,,2,282048
1897,The Living Tombstone - Basics in Beh,The Living Tombstone,,3,237024
1901,Elaine - Wake Up,,,4,254064
1919,Ariana Grande - Positions,,,2,172368
1925,Pauline - Break Free (Lead the Way),,,2,266928
1939,Can't Hold Us (feat. Ray Dalton),,,3,258480
1943,everything i wanted,,,2,245472
1945,Jane XØ - Lies,,,1,229920
1947,Light up the Night,,,3,233880
1949,Look What You Made Me Do,,,1,211896
1951,"R3HAB, ATC - All Around The World (La La La)",,,5,147864
1953,Say What (Pisk Electro Swing Remix),,,3,193848
1955,Stay,,,1,240744
1961,Feel So Close (Radio Edit),,,2,206448
1965,Starboy,,,3,230496
1967,AronChupa - I'm an Albatraoz,,,3,148512
1977,Nightcore - Where is the Love,,,5,203064
1979,Groove Coverage - Million Tears,,,5,192072
1993,The Neighbourhood - Afraid,,,5,250104
-1,,,,,
